Output source file name: T725
||||Date|(%)
Company Code|Company Name|Equity Owner Type|Equity Owner Name|Holding Date|Percent Shares
98827|Indian Hotels Co. Ltd.|Promoters|Tata Investment Corporation Ltd|31-03-2020|1.350000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Sons Private Limited|30-06-2019|36.419998
98827|Indian Hotels Co. Ltd.|Promoters|Tata Sons Private Limited|30-09-2019|36.419998
98827|Indian Hotels Co. Ltd.|Promoters|Tata Sons Private Limited|31-12-2019|36.419998
98827|Indian Hotels Co. Ltd.|Promoters|Tata Sons Private Limited|31-03-2020|38.090000
157438|Nelco Ltd.|Non-Promoters|Clearing Member|30-06-2019|1.900000
157438|Nelco Ltd.|Non-Promoters|Clearing Member|30-09-2019|1.350000
157438|Nelco Ltd.|Non-Promoters|Clearing Members|31-12-2019|1.390000
157438|Nelco Ltd.|Non-Promoters|Clearing Members|31-03-2020|1.160000
157438|Nelco Ltd.|Non-Promoters|Huf|30-06-2019|1.970000
157438|Nelco Ltd.|Non-Promoters|Huf|30-09-2019|1.980000
157438|Nelco Ltd.|Non-Promoters|Huf|31-12-2019|2.020000
157438|Nelco Ltd.|Non-Promoters|Huf|31-03-2020|2.120000
157438|Nelco Ltd.|Non-Promoters|Iepf|30-06-2019|0.810000
157438|Nelco Ltd.|Non-Promoters|Iepf|30-09-2019|0.810000
157438|Nelco Ltd.|Non-Promoters|Iepf|31-12-2019|0.810000
157438|Nelco Ltd.|Non-Promoters|Iepf|31-03-2020|1.120000
157438|Nelco Ltd.|Non-Promoters|M/S Schlumberger Limited|30-06-2019|3.790000
157438|Nelco Ltd.|Non-Promoters|M/S Schlumberger Limited|30-09-2019|3.790000
157438|Nelco Ltd.|Non-Promoters|M/S Schlumberger Limited|31-12-2019|3.790000
157438|Nelco Ltd.|Non-Promoters|M/S Schlumberger Limited|31-03-2020|3.790000
157438|Nelco Ltd.|Non-Promoters|Massachusetts Institute Of Technology 2|30-06-2019|1.540000
157438|Nelco Ltd.|Non-Promoters|Massachusetts Institute Of Technology 2|30-09-2019|1.540000
157438|Nelco Ltd.|Non-Promoters|Massachusetts Institute Of Technology 2|31-12-2019|1.540000
157438|Nelco Ltd.|Non-Promoters|Massachusetts Institute Of Technology 2|31-03-2020|1.540000
157438|Nelco Ltd.|Non-Promoters|Non-Resident Indian (Nri)|30-06-2019|0.960000
157438|Nelco Ltd.|Non-Promoters|Non-Resident Indian (Nri)|30-09-2019|1.010000
157438|Nelco Ltd.|Non-Promoters|Non-Resident Indian (Nri)|31-12-2019|0.950000
157438|Nelco Ltd.|Non-Promoters|Non-Resident Indian (Nri)|31-03-2020|1.040000
157438|Nelco Ltd.|Non-Promoters|Parul Prasoon Bhatt|30-06-2019|1.000000
157438|Nelco Ltd.|Non-Promoters|Parul Prasoon Bhatt|30-09-2019|1.000000
157438|Nelco Ltd.|Non-Promoters|Parul Prasoon Bhatt|31-12-2019|1.000000
157438|Nelco Ltd.|Non-Promoters|Parul Prasoon Bhatt|31-03-2020|1.000000
157438|Nelco Ltd.|Non-Promoters|Prasoon Harshad Bhatt|30-06-2019|3.340000
157438|Nelco Ltd.|Non-Promoters|Prasoon Harshad Bhatt|30-09-2019|3.340000
157438|Nelco Ltd.|Non-Promoters|Prasoon Harshad Bhatt|31-12-2019|3.340000
157438|Nelco Ltd.|Non-Promoters|Prasoon Harshad Bhatt|31-03-2020|3.340000
157438|Nelco Ltd.|Non-Promoters|Tarbir Shahpuri|30-06-2019|1.530000
157438|Nelco Ltd.|Non-Promoters|Tarbir Shahpuri|30-09-2019|1.530000
157438|Nelco Ltd.|Non-Promoters|Tarbir Shahpuri|31-12-2019|1.300000
157438|Nelco Ltd.|Non-Promoters|Trusts|30-06-2019|0.000000
157438|Nelco Ltd.|Non-Promoters|Trusts|30-09-2019|0.000000
157438|Nelco Ltd.|Non-Promoters|Trusts|31-12-2019|0.000000
157438|Nelco Ltd.|Non-Promoters|Trusts|31-03-2020|0.000000
157438|Nelco Ltd.|Promoters|Af-Taab Investment Company Limited|30-06-2019|1.430000
157438|Nelco Ltd.|Promoters|Af-Taab Investment Company Limited|30-09-2019|1.430000
157438|Nelco Ltd.|Promoters|Af-Taab Investment Company Limited|31-12-2019|1.430000
157438|Nelco Ltd.|Promoters|Af-Taab Investment Company Limited|31-03-2020|1.430000
157438|Nelco Ltd.|Promoters|Tata Investment Corporation Limited|30-06-2019|0.000000
157438|Nelco Ltd.|Promoters|Tata Investment Corporation Limited|30-09-2019|0.000000
157438|Nelco Ltd.|Promoters|Tata Investment Corporation Limited|31-12-2019|0.000000
157438|Nelco Ltd.|Promoters|The Tata Power Company Limited|30-06-2019|48.639999
157438|Nelco Ltd.|Promoters|The Tata Power Company Limited|30-09-2019|48.639999
157438|Nelco Ltd.|Promoters|The Tata Power Company Limited|31-12-2019|48.639999
157438|Nelco Ltd.|Promoters|The Tata Power Company Limited|31-03-2020|48.639999
157438|Nelco Ltd.|Promoters|Titan Company Limited|30-06-2019|0.000000
157438|Nelco Ltd.|Promoters|Titan Company Limited|30-09-2019|0.000000
157438|Nelco Ltd.|Promoters|Titan Company Limited|31-12-2019|0.000000
157438|Nelco Ltd.|Promoters|Titan Company Limited|31-03-2020|0.000000
159642|Nilachal Refractories Ltd.|Non-Promoters|Eynthia Tie Up Private Limited|30-06-2019|8.340000
159642|Nilachal Refractories Ltd.|Non-Promoters|Eynthia Tie Up Private Limited|30-09-2019|8.340000
159642|Nilachal Refractories Ltd.|Non-Promoters|Eynthia Tie Up Private Limited|31-12-2019|8.340000
159642|Nilachal Refractories Ltd.|Non-Promoters|Eynthia Tie Up Pvt Ltd|31-03-2020|8.340000
159642|Nilachal Refractories Ltd.|Non-Promoters|Karan Agarwal|30-06-2019|1.560000
159642|Nilachal Refractories Ltd.|Non-Promoters|Karan Agarwal|30-09-2019|1.560000
159642|Nilachal Refractories Ltd.|Non-Promoters|Karan Agarwal|31-12-2019|1.560000
159642|Nilachal Refractories Ltd.|Non-Promoters|Karan Agarwal|31-03-2020|1.560000
159642|Nilachal Refractories Ltd.|Non-Promoters|Manju Agarwal|30-06-2019|1.560000
159642|Nilachal Refractories Ltd.|Non-Promoters|Manju Agarwal|30-09-2019|1.560000
159642|Nilachal Refractories Ltd.|Non-Promoters|Manju Agarwal|31-12-2019|1.560000
159642|Nilachal Refractories Ltd.|Non-Promoters|Manju Agarwal|31-03-2020|1.560000
159642|Nilachal Refractories Ltd.|Non-Promoters|Non-Resident Indian (Nri)|30-06-2019|0.000000
159642|Nilachal Refractories Ltd.|Non-Promoters|Non-Resident Indian (Nri)|30-09-2019|0.000000
159642|Nilachal Refractories Ltd.|Non-Promoters|Non-Resident Indian (Nri)|31-12-2019|0.000000
159642|Nilachal Refractories Ltd.|Non-Promoters|Non-Resident Indian (Nri)|31-03-2020|0.000000
159642|Nilachal Refractories Ltd.|Non-Promoters|Saket Agarwal|30-06-2019|1.550000
159642|Nilachal Refractories Ltd.|Non-Promoters|Saket Agarwal|30-09-2019|1.550000
159642|Nilachal Refractories Ltd.|Non-Promoters|Saket Agarwal|31-12-2019|1.550000
159642|Nilachal Refractories Ltd.|Non-Promoters|Saket Agarwal|31-03-2020|1.550000
159642|Nilachal Refractories Ltd.|Non-Promoters|Sushil Kumar Agarwal|30-06-2019|5.980000
159642|Nilachal Refractories Ltd.|Non-Promoters|Sushil Kumar Agarwal|30-09-2019|5.980000
159642|Nilachal Refractories Ltd.|Non-Promoters|Sushil Kumar Agarwal|31-12-2019|5.980000
159642|Nilachal Refractories Ltd.|Non-Promoters|Sushil Kumar Agarwal|31-03-2020|5.980000
159642|Nilachal Refractories Ltd.|Non-Promoters|Vijay Kumar Agarwal|30-06-2019|5.970000
159642|Nilachal Refractories Ltd.|Non-Promoters|Vijay Kumar Agarwal|30-09-2019|5.970000
159642|Nilachal Refractories Ltd.|Non-Promoters|Vijay Kumar Agarwal|31-12-2019|5.970000
159642|Nilachal Refractories Ltd.|Non-Promoters|Vijay Kumar Agarwal|31-03-2020|5.970000
159642|Nilachal Refractories Ltd.|Non-Promoters|Vinay Agarwal|30-06-2019|1.560000
159642|Nilachal Refractories Ltd.|Non-Promoters|Vinay Agarwal|30-09-2019|1.560000
159642|Nilachal Refractories Ltd.|Non-Promoters|Vinay Agarwal|31-12-2019|1.560000
159642|Nilachal Refractories Ltd.|Non-Promoters|Vinay Agarwal|31-03-2020|1.560000
159642|Nilachal Refractories Ltd.|Promoters|Aarav Jalan|30-06-2019|0.220000
159642|Nilachal Refractories Ltd.|Promoters|Aarav Jalan|30-09-2019|0.220000
159642|Nilachal Refractories Ltd.|Promoters|Aarav Jalan|31-12-2019|0.220000
159642|Nilachal Refractories Ltd.|Promoters|Aarav Jalan|31-03-2020|0.220000
159642|Nilachal Refractories Ltd.|Promoters|Aditi Jalan|30-06-2019|1.180000
159642|Nilachal Refractories Ltd.|Promoters|Aditi Jalan|30-09-2019|1.180000
159642|Nilachal Refractories Ltd.|Promoters|Aditi Jalan|31-12-2019|1.180000
159642|Nilachal Refractories Ltd.|Promoters|Aditi Jalan|31-03-2020|1.180000
159642|Nilachal Refractories Ltd.|Promoters|Alok Prakash Huf|30-06-2019|0.310000
159642|Nilachal Refractories Ltd.|Promoters|Alok Prakash Huf|30-09-2019|0.310000
159642|Nilachal Refractories Ltd.|Promoters|Alok Prakash Huf|31-12-2019|0.310000
159642|Nilachal Refractories Ltd.|Promoters|Alok Prakash Huf|31-03-2020|0.310000
159642|Nilachal Refractories Ltd.|Promoters|Anubhuti Prakash|30-06-2019|0.090000
159642|Nilachal Refractories Ltd.|Promoters|Anubhuti Prakash|30-09-2019|0.090000
159642|Nilachal Refractories Ltd.|Promoters|Anubhuti Prakash|31-12-2019|0.090000
159642|Nilachal Refractories Ltd.|Promoters|Anubhuti Prakash|31-03-2020|0.090000
159642|Nilachal Refractories Ltd.|Promoters|Anupama Prakash|30-06-2019|0.090000
159642|Nilachal Refractories Ltd.|Promoters|Anupama Prakash|30-09-2019|0.090000
159642|Nilachal Refractories Ltd.|Promoters|Anupama Prakash|31-12-2019|0.090000
159642|Nilachal Refractories Ltd.|Promoters|Anupama Prakash|31-03-2020|0.090000
159642|Nilachal Refractories Ltd.|Promoters|Bela Jalan|30-06-2019|0.810000
159642|Nilachal Refractories Ltd.|Promoters|Bela Jalan|30-09-2019|1.550000
159642|Nilachal Refractories Ltd.|Promoters|Bela Jalan|31-12-2019|1.550000
159642|Nilachal Refractories Ltd.|Promoters|Bela Jalan|31-03-2020|1.550000
159642|Nilachal Refractories Ltd.|Promoters|Bhagwati Prasad Jalan|30-06-2019|2.700000
159642|Nilachal Refractories Ltd.|Promoters|Bhagwati Prasad Jalan|30-09-2019|2.700000
159642|Nilachal Refractories Ltd.|Promoters|Bhagwati Prasad Jalan|31-12-2019|2.700000
159642|Nilachal Refractories Ltd.|Promoters|Bhagwati Prasad Jalan|31-03-2020|2.700000
159642|Nilachal Refractories Ltd.|Promoters|Bhagwati Prasad Jalan And Sons|30-06-2019|0.370000
159642|Nilachal Refractories Ltd.|Promoters|Bhagwati Prasad Jalan And Sons|30-09-2019|0.370000
159642|Nilachal Refractories Ltd.|Promoters|Bhagwati Prasad Jalan And Sons|31-12-2019|0.370000
159642|Nilachal Refractories Ltd.|Promoters|Bhagwati Prasad Jalan And Sons|31-03-2020|0.370000
159642|Nilachal Refractories Ltd.|Promoters|D P Jalan & Other Huf|30-06-2019|0.370000
159642|Nilachal Refractories Ltd.|Promoters|D P Jalan & Other Huf|30-09-2019|0.370000
159642|Nilachal Refractories Ltd.|Promoters|D P Jalan & Other Huf|31-12-2019|0.370000
159642|Nilachal Refractories Ltd.|Promoters|D P Jalan & Other Huf|31-03-2020|0.370000
159642|Nilachal Refractories Ltd.|Promoters|Ganapati Industrial Pvt. Ltd.|30-06-2019|2.450000
159642|Nilachal Refractories Ltd.|Promoters|Ganapati Industrial Pvt. Ltd.|30-09-2019|2.450000
159642|Nilachal Refractories Ltd.|Promoters|Ganpati Industrial Pvt Ltd|31-03-2020|2.450000
159642|Nilachal Refractories Ltd.|Promoters|Ganpati Industrial Pvt. Ltd.|31-12-2019|2.450000
159642|Nilachal Refractories Ltd.|Promoters|Ishika Jalan|30-06-2019|0.220000
159642|Nilachal Refractories Ltd.|Promoters|Ishika Jalan|30-09-2019|0.220000
159642|Nilachal Refractories Ltd.|Promoters|Ishika Jalan|31-12-2019|0.220000
159642|Nilachal Refractories Ltd.|Promoters|Ishika Jalan|31-03-2020|0.220000
159642|Nilachal Refractories Ltd.|Promoters|Jekay International Track Pvt. Ltd.|30-06-2019|2.450000
159642|Nilachal Refractories Ltd.|Promoters|Jekay International Track Pvt. Ltd.|30-09-2019|2.450000
159642|Nilachal Refractories Ltd.|Promoters|Jekay International Track Pvt. Ltd.|31-12-2019|2.450000
159642|Nilachal Refractories Ltd.|Promoters|Jekay International Track Pvt. Ltd.|31-03-2020|2.450000
159642|Nilachal Refractories Ltd.|Promoters|Kamal Prakash Huf|30-06-2019|0.310000
159642|Nilachal Refractories Ltd.|Promoters|Kamal Prakash Huf|30-09-2019|0.310000
159642|Nilachal Refractories Ltd.|Promoters|Kamal Prakash Huf|31-12-2019|0.310000
159642|Nilachal Refractories Ltd.|Promoters|Kamal Prakash Huf|31-03-2020|0.310000
159642|Nilachal Refractories Ltd.|Promoters|Keshan Polymers Pvt Ltd|30-06-2019|3.680000
159642|Nilachal Refractories Ltd.|Promoters|Keshan Polymers Pvt Ltd|30-09-2019|3.680000
159642|Nilachal Refractories Ltd.|Promoters|Keshan Polymers Pvt Ltd|31-12-2019|3.680000
159642|Nilachal Refractories Ltd.|Promoters|Keshan Polymers Pvt Ltd|31-03-2020|3.680000
159642|Nilachal Refractories Ltd.|Promoters|Likewise Investment And Marketing Pvt Ltd|30-06-2019|1.350000
159642|Nilachal Refractories Ltd.|Promoters|Likewise Investment And Marketing Pvt Ltd|30-09-2019|1.350000
159642|Nilachal Refractories Ltd.|Promoters|Likewise Investment And Marketing Pvt Ltd|31-12-2019|1.350000
159642|Nilachal Refractories Ltd.|Promoters|Likewise Investment And Marketing Pvt Ltd|31-03-2020|1.350000
159642|Nilachal Refractories Ltd.|Promoters|Madhu Agarwal|30-06-2019|0.090000
159642|Nilachal Refractories Ltd.|Promoters|Madhu Agarwal|30-09-2019|0.090000
159642|Nilachal Refractories Ltd.|Promoters|Madhu Agarwal|31-12-2019|0.090000
159642|Nilachal Refractories Ltd.|Promoters|Madhu Agarwal|31-03-2020|0.090000
159642|Nilachal Refractories Ltd.|Promoters|Minicraft Enterprise Private Limited|30-06-2019|7.570000
159642|Nilachal Refractories Ltd.|Promoters|Minicraft Enterprise Private Limited|30-09-2019|7.570000
159642|Nilachal Refractories Ltd.|Promoters|Minicraft Enterprise Private Limited|31-12-2019|7.570000
159642|Nilachal Refractories Ltd.|Promoters|Minicraft Enterprise Pvt Ltd|31-03-2020|7.570000
159642|Nilachal Refractories Ltd.|Promoters|Nidhi Jalan|30-06-2019|0.810000
159642|Nilachal Refractories Ltd.|Promoters|Nidhi Jalan|30-09-2019|0.810000
159642|Nilachal Refractories Ltd.|Promoters|Nidhi Jalan|31-12-2019|0.810000
159642|Nilachal Refractories Ltd.|Promoters|Nidhi Jalan|31-03-2020|0.810000
159642|Nilachal Refractories Ltd.|Promoters|Nikita Jalan|30-06-2019|0.740000
159642|Nilachal Refractories Ltd.|Promoters|Niraj Jalan|30-06-2019|3.140000
159642|Nilachal Refractories Ltd.|Promoters|Niraj Jalan|30-09-2019|3.140000
159642|Nilachal Refractories Ltd.|Promoters|Niraj Jalan|31-12-2019|3.140000
159642|Nilachal Refractories Ltd.|Promoters|Niraj Jalan|31-03-2020|3.140000
159642|Nilachal Refractories Ltd.|Promoters|Niraj Jalan & Others Huf|30-06-2019|0.250000
159642|Nilachal Refractories Ltd.|Promoters|Niraj Jalan & Others Huf|30-09-2019|0.250000
159642|Nilachal Refractories Ltd.|Promoters|Niraj Jalan & Others Huf|31-12-2019|0.250000
159642|Nilachal Refractories Ltd.|Promoters|Niraj Jalan & Others Huf|31-03-2020|0.250000
159642|Nilachal Refractories Ltd.|Promoters|P P Suppliers And Agencies Private Limited|30-06-2019|3.280000
159642|Nilachal Refractories Ltd.|Promoters|P P Suppliers And Agencies Private Limited|30-09-2019|3.280000
159642|Nilachal Refractories Ltd.|Promoters|P P Suppliers And Agencies Private Limited|31-12-2019|3.280000
159642|Nilachal Refractories Ltd.|Promoters|P P Suppliers And Agencies Private Limited|31-03-2020|3.280000
159642|Nilachal Refractories Ltd.|Promoters|Pankaj Jalan|30-06-2019|1.800000
159642|Nilachal Refractories Ltd.|Promoters|Pankaj Jalan|30-09-2019|1.800000
159642|Nilachal Refractories Ltd.|Promoters|Pankaj Jalan|31-12-2019|1.800000
159642|Nilachal Refractories Ltd.|Promoters|Pankaj Jalan|31-03-2020|1.800000
159642|Nilachal Refractories Ltd.|Promoters|Pankaj Jalan & Others Huf|30-06-2019|0.370000
159642|Nilachal Refractories Ltd.|Promoters|Pankaj Jalan & Others Huf|30-09-2019|0.370000
159642|Nilachal Refractories Ltd.|Promoters|Pankaj Jalan & Others Huf|31-12-2019|0.370000
159642|Nilachal Refractories Ltd.|Promoters|Pankaj Jalan & Others Huf|31-03-2020|0.370000
159642|Nilachal Refractories Ltd.|Promoters|Parwati Devi Jalan|30-06-2019|0.690000
159642|Nilachal Refractories Ltd.|Promoters|Parwati Devi Jalan|30-09-2019|0.690000
159642|Nilachal Refractories Ltd.|Promoters|Parwati Devi Jalan|31-12-2019|0.690000
159642|Nilachal Refractories Ltd.|Promoters|Parwati Devi Jalan|31-03-2020|0.690000
159642|Nilachal Refractories Ltd.|Promoters|Piyush Jalan|30-06-2019|3.270000
159642|Nilachal Refractories Ltd.|Promoters|Piyush Jalan|30-09-2019|3.270000
159642|Nilachal Refractories Ltd.|Promoters|Piyush Jalan|31-12-2019|3.270000
159642|Nilachal Refractories Ltd.|Promoters|Piyush Jalan|31-03-2020|3.270000
159642|Nilachal Refractories Ltd.|Promoters|Pushpak Dealcom Private Limited|30-06-2019|1.470000
159642|Nilachal Refractories Ltd.|Promoters|Pushpak Dealcom Private Limited|30-09-2019|1.470000
159642|Nilachal Refractories Ltd.|Promoters|Pushpak Dealcom Private Limited|31-12-2019|1.470000
159642|Nilachal Refractories Ltd.|Promoters|Pushpak Dealcom Private Limited|31-03-2020|1.470000
159642|Nilachal Refractories Ltd.|Promoters|Raj Rani Agarwal|30-06-2019|0.400000
159642|Nilachal Refractories Ltd.|Promoters|Raj Rani Agarwal|30-09-2019|0.400000
159642|Nilachal Refractories Ltd.|Promoters|Raj Rani Agarwal|31-12-2019|0.400000
159642|Nilachal Refractories Ltd.|Promoters|Raj Rani Agarwal|31-03-2020|0.400000
159642|Nilachal Refractories Ltd.|Promoters|Sea Sons Trading And Investments Pvt Ltd|31-03-2020|7.360000
159642|Nilachal Refractories Ltd.|Promoters|Sea Sons Trading And Investments Pvt. Ltd.|30-06-2019|7.360000
159642|Nilachal Refractories Ltd.|Promoters|Sea Sons Trading And Investments Pvt. Ltd.|30-09-2019|7.360000
159642|Nilachal Refractories Ltd.|Promoters|Sea Sons Trading And Investments Pvt. Ltd.|31-12-2019|7.360000
159642|Nilachal Refractories Ltd.|Promoters|Unimark International Pvt Ltd|31-03-2020|22.430000
159642|Nilachal Refractories Ltd.|Promoters|Unimark International Pvt. Ltd.|30-06-2019|22.430000
159642|Nilachal Refractories Ltd.|Promoters|Unimark International Pvt. Ltd.|30-09-2019|22.430000
159642|Nilachal Refractories Ltd.|Promoters|Unimark International Pvt. Ltd.|31-12-2019|22.430000
159642|Nilachal Refractories Ltd.|Promoters|Vimal Prakash Huf|30-06-2019|0.310000
159642|Nilachal Refractories Ltd.|Promoters|Vimal Prakash Huf|30-09-2019|0.310000
159642|Nilachal Refractories Ltd.|Promoters|Vimal Prakash Huf|31-12-2019|0.310000
159642|Nilachal Refractories Ltd.|Promoters|Vimal Prakash Huf|31-03-2020|0.310000
164948|Oriental Hotels Ltd.|Non-Promoters|Aditya Birla Sun Life Trustee Private Limited A/C Aditya Birla Sun Life Dividend|30-06-2019|1.580000
164948|Oriental Hotels Ltd.|Non-Promoters|Aditya Birla Sun Life Trustee Private Limited A/C Aditya Birla Sun Life Dividend|30-09-2019|1.380000
164948|Oriental Hotels Ltd.|Non-Promoters|Aditya Birla Sun Life Trustee Private Limited A/C Aditya Birla Sun Life Dividend|31-12-2019|1.380000
164948|Oriental Hotels Ltd.|Non-Promoters|Aditya Birla Sun Life Trustee Private Limited A/C Aditya Birla Sun Life Dividend|31-03-2020|1.380000
164948|Oriental Hotels Ltd.|Non-Promoters|Clearing Members|30-06-2019|0.000000
164948|Oriental Hotels Ltd.|Non-Promoters|Clearing Members|30-09-2019|0.010000
164948|Oriental Hotels Ltd.|Non-Promoters|Clearing Members|31-12-2019|0.010000
164948|Oriental Hotels Ltd.|Non-Promoters|Clearing Members|31-03-2020|0.010000
164948|Oriental Hotels Ltd.|Non-Promoters|Iepf|30-06-2019|0.410000
164948|Oriental Hotels Ltd.|Non-Promoters|Iepf|30-09-2019|0.410000
164948|Oriental Hotels Ltd.|Non-Promoters|Iepf|31-12-2019|0.410000
164948|Oriental Hotels Ltd.|Non-Promoters|Iepf|31-03-2020|0.520000
164948|Oriental Hotels Ltd.|Non-Promoters|Reliance Capital Trustee Company Limited A/C Reliance Growth Fund|30-09-2019|7.320000
164948|Oriental Hotels Ltd.|Non-Promoters|Reliance Capital Trustee Company Limited A/C Reliance Growth Fund|31-12-2019|7.320000
164948|Oriental Hotels Ltd.|Non-Promoters|Reliance Capital Trustee Company Limited A/C Reliance Growth Fund|31-03-2020|7.390000
164948|Oriental Hotels Ltd.|Non-Promoters|Reliance Mutual Fund A/C|30-06-2019|7.390000
164948|Oriental Hotels Ltd.|Non-Promoters|Sundaram Mutual Fund A/C|30-06-2019|2.840000
164948|Oriental Hotels Ltd.|Non-Promoters|Sundaram Mutual Fund A/C|31-12-2019|2.840000
164948|Oriental Hotels Ltd.|Non-Promoters|Sundaram Mutual Fund A/C|31-03-2020|2.840000
164948|Oriental Hotels Ltd.|Non-Promoters|Sundaram Mutual Fund A/C Sundaram Services Fund|30-09-2019|2.840000
164948|Oriental Hotels Ltd.|Non-Promoters|The Oriental Insurance Company Limited|30-06-2019|1.400000
164948|Oriental Hotels Ltd.|Non-Promoters|The Oriental Insurance Company Limited|30-09-2019|1.400000
164948|Oriental Hotels Ltd.|Non-Promoters|The Oriental Insurance Company Limited|31-12-2019|1.400000
164948|Oriental Hotels Ltd.|Non-Promoters|The Oriental Insurance Company Limited|31-03-2020|1.400000
164948|Oriental Hotels Ltd.|Non-Promoters|Trusts|30-06-2019|0.000000
164948|Oriental Hotels Ltd.|Non-Promoters|Trusts|30-09-2019|0.000000
164948|Oriental Hotels Ltd.|Non-Promoters|Trusts|31-12-2019|0.000000
164948|Oriental Hotels Ltd.|Non-Promoters|Trusts|31-03-2020|0.000000
164948|Oriental Hotels Ltd.|Promoters|C Hemalatha Reddy|30-06-2019|0.300000
164948|Oriental Hotels Ltd.|Promoters|C Hemalatha Reddy|30-09-2019|0.300000
164948|Oriental Hotels Ltd.|Promoters|C Hemalatha Reddy|31-12-2019|0.300000
164948|Oriental Hotels Ltd.|Promoters|C Hemalatha Reddy|31-03-2020|0.300000
164948|Oriental Hotels Ltd.|Promoters|C Leenaja Reddy|30-06-2019|0.180000
164948|Oriental Hotels Ltd.|Promoters|C Leenaja Reddy|30-09-2019|0.180000
164948|Oriental Hotels Ltd.|Promoters|C Leenaja Reddy|31-12-2019|0.180000
164948|Oriental Hotels Ltd.|Promoters|C Leenaja Reddy|31-03-2020|0.180000
164948|Oriental Hotels Ltd.|Promoters|Chilamiliika Lalini Hariani|30-06-2019|0.480000
164948|Oriental Hotels Ltd.|Promoters|Chilamiliika Lalini Hariani|30-09-2019|0.480000
164948|Oriental Hotels Ltd.|Promoters|Chilamiliika Lalini Hariani|31-12-2019|0.480000
164948|Oriental Hotels Ltd.|Promoters|Chilamiliika Lalini Hariani|31-03-2020|0.480000
164948|Oriental Hotels Ltd.|Promoters|D K Pavan|30-06-2019|0.040000
164948|Oriental Hotels Ltd.|Promoters|D K Pavan|30-09-2019|0.040000
164948|Oriental Hotels Ltd.|Promoters|D K Pavan .|31-12-2019|0.040000
164948|Oriental Hotels Ltd.|Promoters|D K Pavan .|31-03-2020|0.040000
164948|Oriental Hotels Ltd.|Promoters|D Naveen Reddy|30-06-2019|0.780000
164948|Oriental Hotels Ltd.|Promoters|D Naveen Reddy|30-09-2019|0.780000
164948|Oriental Hotels Ltd.|Promoters|D Naveen Reddy|31-12-2019|0.780000
164948|Oriental Hotels Ltd.|Promoters|D Naveen Reddy|31-03-2020|0.780000
164948|Oriental Hotels Ltd.|Promoters|D Prasannareddy|30-06-2019|0.010000
164948|Oriental Hotels Ltd.|Promoters|D Prasannareddy|30-09-2019|0.010000
164948|Oriental Hotels Ltd.|Promoters|D Prasannareddy|31-12-2019|0.010000
164948|Oriental Hotels Ltd.|Promoters|D Prasannareddy|31-03-2020|0.010000
164948|Oriental Hotels Ltd.|Promoters|D Rahul Reddy|30-06-2019|0.020000
164948|Oriental Hotels Ltd.|Promoters|D Rahul Reddy|30-09-2019|0.020000
164948|Oriental Hotels Ltd.|Promoters|D Rahul Reddy|31-12-2019|0.020000
164948|Oriental Hotels Ltd.|Promoters|D Rahul Reddy|31-03-2020|0.020000
164948|Oriental Hotels Ltd.|Promoters|D Sunder Nischal|30-06-2019|0.060000
164948|Oriental Hotels Ltd.|Promoters|D Sunder Nischal|30-09-2019|0.060000
164948|Oriental Hotels Ltd.|Promoters|D Sunder Nischal|31-12-2019|0.060000
164948|Oriental Hotels Ltd.|Promoters|D Sunder Nischal|31-03-2020|0.060000
164948|Oriental Hotels Ltd.|Promoters|D V Sharan|30-06-2019|0.040000
164948|Oriental Hotels Ltd.|Promoters|D V Sharan|30-09-2019|0.040000
164948|Oriental Hotels Ltd.|Promoters|D V Sharan .|31-12-2019|0.040000
164948|Oriental Hotels Ltd.|Promoters|D V Sharan .|31-03-2020|0.040000
164948|Oriental Hotels Ltd.|Promoters|D Varada Reddy|31-12-2019|3.920000
164948|Oriental Hotels Ltd.|Promoters|D Varada Reddy|31-03-2020|3.920000
164948|Oriental Hotels Ltd.|Promoters|D. Aruna Reddy|30-06-2019|0.760000
164948|Oriental Hotels Ltd.|Promoters|D. Aruna Reddy|30-09-2019|0.760000
164948|Oriental Hotels Ltd.|Promoters|D. Varada Reddy|30-06-2019|3.920000
164948|Oriental Hotels Ltd.|Promoters|D. Varada Reddy|30-09-2019|3.920000
164948|Oriental Hotels Ltd.|Promoters|D. Vijayagopal Reddy|30-06-2019|1.540000
164948|Oriental Hotels Ltd.|Promoters|D. Vijayagopal Reddy|30-09-2019|1.540000
164948|Oriental Hotels Ltd.|Promoters|D. Vijayagopal Reddy|31-12-2019|1.540000
164948|Oriental Hotels Ltd.|Promoters|D. Vijayagopal Reddy|31-03-2020|1.540000
164948|Oriental Hotels Ltd.|Promoters|Dodla Abishek|30-06-2019|0.010000
164948|Oriental Hotels Ltd.|Promoters|Dodla Abishek|30-09-2019|0.010000
164948|Oriental Hotels Ltd.|Promoters|Dodla Abishek|31-12-2019|0.010000
164948|Oriental Hotels Ltd.|Promoters|Dodla Abishek|31-03-2020|0.010000
164948|Oriental Hotels Ltd.|Promoters|Dodla Amit Reddy|30-06-2019|1.280000
164948|Oriental Hotels Ltd.|Promoters|Dodla Amit Reddy|30-09-2019|1.610000
164948|Oriental Hotels Ltd.|Promoters|Dodla Amit Reddy|31-12-2019|1.780000
