Output source file name: T725
||||Date|(%)
Company Code|Company Name|Equity Owner Type|Equity Owner Name|Holding Date|Percent Shares
24967|Automobile Corpn. Of Goa Ltd.|Promoters|Tata Motors Limited|31-03-2020|48.980000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Clearing Member|30-06-2019|0.500000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Clearing Member|30-09-2019|0.070000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Clearing Member|31-12-2019|0.060000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Clearing Member|31-03-2020|0.100000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Huf|30-06-2019|2.180000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Huf|30-09-2019|2.140000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Huf|31-12-2019|1.700000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Huf|31-03-2020|1.510000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Iepf|30-06-2019|0.130000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Iepf|30-09-2019|0.180000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Iepf|31-12-2019|0.180000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Iepf|31-03-2020|0.180000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Non-Resident Indian (Nri)|30-06-2019|0.170000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Non-Resident Indian (Nri)|30-09-2019|0.170000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Non-Resident Indian (Nri)|31-12-2019|0.160000
343765|Automotive Stampings & Assemblies Ltd.|Non-Promoters|Non-Resident Indian (Nri)|31-03-2020|0.180000
343765|Automotive Stampings & Assemblies Ltd.|Promoters|Tata Autocomp Systems Limited|30-06-2019|75.000000
343765|Automotive Stampings & Assemblies Ltd.|Promoters|Tata Autocomp Systems Limited|30-09-2019|75.000000
343765|Automotive Stampings & Assemblies Ltd.|Promoters|Tata Autocomp Systems Limited|31-12-2019|75.000000
343765|Automotive Stampings & Assemblies Ltd.|Promoters|Tata Autocomp Systems Limited|31-03-2020|75.000000
32084|Benares Hotels Ltd.|Non-Promoters|Aditya Deorah|30-06-2019|1.360000
32084|Benares Hotels Ltd.|Non-Promoters|Aditya Deorah|30-09-2019|1.360000
32084|Benares Hotels Ltd.|Non-Promoters|Aditya Deorah|31-12-2019|1.280000
32084|Benares Hotels Ltd.|Non-Promoters|Aditya Deorah|31-03-2020|1.450000
32084|Benares Hotels Ltd.|Non-Promoters|Arjun Ramani|30-06-2019|1.450000
32084|Benares Hotels Ltd.|Non-Promoters|Arjun Ramani|30-09-2019|1.450000
32084|Benares Hotels Ltd.|Non-Promoters|Arjun Ramani|31-12-2019|1.450000
32084|Benares Hotels Ltd.|Non-Promoters|Arjun Ramani|31-03-2020|1.450000
32084|Benares Hotels Ltd.|Non-Promoters|Brajraj Singh|30-06-2019|1.540000
32084|Benares Hotels Ltd.|Non-Promoters|Brajraj Singh|30-09-2019|1.540000
32084|Benares Hotels Ltd.|Non-Promoters|Brajraj Singh|31-12-2019|1.540000
32084|Benares Hotels Ltd.|Non-Promoters|Brajraj Singh|31-03-2020|1.540000
32084|Benares Hotels Ltd.|Non-Promoters|Clearing Members|30-06-2019|0.000000
32084|Benares Hotels Ltd.|Non-Promoters|Clearing Members|30-09-2019|0.000000
32084|Benares Hotels Ltd.|Non-Promoters|Clearing Members|31-12-2019|0.010000
32084|Benares Hotels Ltd.|Non-Promoters|Clearing Members|31-03-2020|0.020000
32084|Benares Hotels Ltd.|Non-Promoters|Dinesh Muktilal Paldiwal|30-06-2019|1.130000
32084|Benares Hotels Ltd.|Non-Promoters|Dinesh Muktilal Paldiwal|30-09-2019|1.130000
32084|Benares Hotels Ltd.|Non-Promoters|Dinesh Muktilal Paldiwal|31-12-2019|1.130000
32084|Benares Hotels Ltd.|Non-Promoters|Dinesh Muktilal Paldiwal|31-03-2020|1.130000
32084|Benares Hotels Ltd.|Non-Promoters|Directors & Their Relatives|30-06-2019|0.850000
32084|Benares Hotels Ltd.|Non-Promoters|Directors & Their Relatives|30-09-2019|0.850000
32084|Benares Hotels Ltd.|Non-Promoters|Hindu Undivided Families|30-06-2019|1.750000
32084|Benares Hotels Ltd.|Non-Promoters|Hindu Undivided Families|30-09-2019|1.770000
32084|Benares Hotels Ltd.|Non-Promoters|Hindu Undivided Family|31-12-2019|1.770000
32084|Benares Hotels Ltd.|Non-Promoters|Hindu Undivided Family|31-03-2020|1.790000
32084|Benares Hotels Ltd.|Non-Promoters|Iepf Authority|30-06-2019|1.490000
32084|Benares Hotels Ltd.|Non-Promoters|Iepf Authority|30-09-2019|1.490000
32084|Benares Hotels Ltd.|Non-Promoters|Investor Edication And Protection Fund Authority|31-12-2019|1.490000
32084|Benares Hotels Ltd.|Non-Promoters|Investor Education And Protection Fund Authority|31-03-2020|1.580000
32084|Benares Hotels Ltd.|Non-Promoters|Non Resident Indians|30-06-2019|0.300000
32084|Benares Hotels Ltd.|Non-Promoters|Non Resident Indians|30-09-2019|0.310000
32084|Benares Hotels Ltd.|Non-Promoters|Non Resident Indians (Non Repat)|31-12-2019|0.240000
32084|Benares Hotels Ltd.|Non-Promoters|Non Resident Indians (Non Repat)|31-03-2020|0.220000
32084|Benares Hotels Ltd.|Non-Promoters|Non Resident Indians (Repat)|31-12-2019|0.060000
32084|Benares Hotels Ltd.|Non-Promoters|Non Resident Indians (Repat)|31-03-2020|0.080000
32084|Benares Hotels Ltd.|Non-Promoters|Other Directors|31-12-2019|0.810000
